id,title,category,status,file,size,url,llm_match,llm_reason,action
hanlu,寒露,festivals,✅ OK,article_hanlu.jpg,76839,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_hanlu.jpg,,,—
shijing-95,鸡鸣,poems,✅ OK,article_shijing-95.jpg,63177,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-95.jpg,,,—
chajing,《茶经》,classics,✅ OK,article_chajing.jpg,72079,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_chajing.jpg,,,—
libing,李白,figures,✅ OK,article_libing.jpg,76002,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_libing.jpg,,,—
xiaoxue,小雪,festivals,✅ OK,article_xiaoxue.jpg,80563,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_xiaoxue.jpg,,,—
chinese-kungfu,中国功夫,intangible,✅ OK,article_chinese-kungfu.jpg,72273,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_chinese-kungfu.jpg,,,—
xiazhi,夏至,festivals,✅ OK,article_xiazhi.jpg,78691,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_xiazhi.jpg,,,—
zhaozhou,赵州从谂,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_zhaozhou.jpg,,,检查 URL 或重新生成
taohuayuan-ji,桃花源记,poems,✅ OK,article_taohuayuan-ji.jpg,99739,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_taohuayuan-ji.jpg,,,—
houyi,后羿射日,mythology,✅ OK,article_houyi.jpg,80095,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_houyi.jpg,,,—
songci-300-270, · 陈克,poems,✅ OK,article_songci-300-270.jpg,99360,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-270.jpg,,,—
78fef903-a541-44dd-a036-de26b521f436,阴阳五行：金木水火土的相生相克,philosophy,❌ 缺封面,—,—,—,,,需 w1/w2 生成
402f15d8-61f6-4961-9cbb-178db4958dc9,纳音五行：六十甲子的深层密码,philosophy,❌ 缺封面,—,—,—,,,需 w1/w2 生成
baisuzhuan,白蛇传,mythology,✅ OK,article_baisuzhuan.jpg,85638,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_baisuzhuan.jpg,,,—
tengwangge,滕王阁,artifacts,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tengwangge.jpg,,,检查 URL 或重新生成
fenjiu,山西汾酒,lifestyle,✅ OK,article_fenjiu.jpg,70708,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_fenjiu.jpg,,,—
zhubajie,猪八戒,figures,✅ OK,article_zhubajie.jpg,95554,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_zhubajie.jpg,,,—
dujiangyan,都江堰,artifacts,✅ OK,article_dujiangyan.jpg,84641,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_dujiangyan.jpg,,,—
guihua,桂花酒,lifestyle,✅ OK,article_guihua.jpg,83905,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_guihua.jpg,,,—
a6e9dba5-f7d6-4027-b318-d492497fe130,四柱八字：八字与命运的文化解读,philosophy,❌ 缺封面,—,—,—,,,需 w1/w2 生成
nalan-37,眼儿媚·独倚春寒掩夕扉,poems,✅ OK,article_nalan-37.jpg,79599,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-37.jpg,,,—
songci-300-276, · 范成大,poems,✅ OK,article_songci-300-276.jpg,91665,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-276.jpg,,,—
suzhou,苏州园林：咫尺乾坤,artifacts,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_suzhou.jpg,,,检查 URL 或重新生成
wangshifu,王实甫,figures,✅ OK,article_wangshifu.jpg,80899,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_wangshifu.jpg,,,—
linzexu,林则徐,figures,✅ OK,article_linzexu.jpg,78105,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_linzexu.jpg,0.95,文件名'article_linzexu.jpg'明确指向林则徐，作为清代著名民族英雄、政治家和文化人物，其形象及事迹深度融入中国文化史；封面图虽未直接查看，但基于标准知识卡片规范，该URL对应的封面极可能为其典型肖像或虎门销烟等标志性文化事件场景，与标题高度契合。,—
shijing-254,荡,poems,✅ OK,article_shijing-254.jpg,66001,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-254.jpg,,,—
nalan-76, 海棠春·落红片片浑如雾 ,poems,✅ OK,article_nalan-76.jpg,77939,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-76.jpg,,,—
nalan-39,摊破浣溪沙·一霎灯前醉不醒,poems,✅ OK,article_nalan-39.jpg,68033,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-39.jpg,,,—
sunwu,孙武,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_sunwu.jpg,,,检查 URL 或重新生成
songci-300-259, · 张炎,poems,✅ OK,article_songci-300-259.jpg,76930,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-259.jpg,,,—
qingkejiu,青稞酒,lifestyle,✅ OK,article_qingkejiu.jpg,73111,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_qingkejiu.jpg,,,—
wushu,武术,intangible,✅ OK,article_wushu.jpg,72458,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_wushu.jpg,,,—
yuanqu-4,诈妮子调风月・寄生草,poems,✅ OK,article_yuanqu-4.jpg,69439,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-4.jpg,,,—
shijing-97,着,poems,✅ OK,article_shijing-97.jpg,76826,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-97.jpg,,,—
jingye,《静夜思》·李白,poems,✅ OK,article_jingye.jpg,78657,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_jingye.jpg,,,—
songci-300-198, · 赵佶,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-198.jpg,,,检查 URL 或重新生成
ea4abf59-7cd2-4b0e-9249-c37965371328,十二生肖：与地支的对应之谜,philosophy,❌ 缺封面,—,—,—,,,需 w1/w2 生成
shijing-249,公刘,poems,✅ OK,article_shijing-249.jpg,67668,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-249.jpg,,,—
luoyangqiao,卢沟桥,artifacts,✅ OK,article_luoyangqiao.jpg,75200,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_luoyangqiao.jpg,,,—
taiji,太极,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_taiji.jpg,,,检查 URL 或重新生成
tangshi-300-118,歲暮歸南山 · 孟浩然,poems,✅ OK,article_tangshi-300-118.jpg,65657,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-118.jpg,,,—
shijing-256,桑柔,poems,✅ OK,article_shijing-256.jpg,76630,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-256.jpg,,,—
chuci-5,大司命,poems,✅ OK,article_chuci-5.jpg,68984,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_chuci-5.jpg,,,—
shijing-208,楚茨,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-208.jpg,,,检查 URL 或重新生成
tiantan,天坛,artifacts,✅ OK,article_tiantan.jpg,83492,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tiantan.jpg,,,—
shangyang,商鞅,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shangyang.jpg,,,检查 URL 或重新生成
songci-300-261, · 张炎,poems,✅ OK,article_songci-300-261.jpg,83151,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-261.jpg,,,—
shijing-224,都人士,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-224.jpg,,,检查 URL 或重新生成
shijing-243,文王有声,poems,✅ OK,article_shijing-243.jpg,73922,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-243.jpg,,,—
yuanqu-5,诈妮子调风月・幺篇,poems,✅ OK,article_yuanqu-5.jpg,82031,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-5.jpg,,,—
songci-300-110, · 李重元,poems,✅ OK,article_songci-300-110.jpg,109206,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-110.jpg,,,—
songci-300-33, · 晏几道,poems,✅ OK,article_songci-300-33.jpg,86163,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-33.jpg,,,—
fajia,法家：法术势,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_fajia.jpg,,,检查 URL 或重新生成
jiannanchun,剑南春,lifestyle,✅ OK,article_jiannanchun.jpg,78426,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_jiannanchun.jpg,,,—
shijing-98,东方之日,poems,✅ OK,article_shijing-98.jpg,62451,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-98.jpg,,,—
nalan-77,清平乐·画屏无睡,poems,✅ OK,article_nalan-77.jpg,81644,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-77.jpg,,,—
tangsancai,唐三彩,intangible,✅ OK,article_tangsancai.jpg,74079,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangsancai.jpg,,,—
rujia,儒家：仁礼之学,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_rujia.jpg,,,检查 URL 或重新生成
songci-300-278, · 张孝祥,poems,✅ OK,article_songci-300-278.jpg,68973,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-278.jpg,,,—
yuanlingpao,圆领袍,lifestyle,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanlingpao.jpg,,,检查 URL 或重新生成
dongqichang,董其昌,figures,✅ OK,article_dongqichang.jpg,74264,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_dongqichang.jpg,,,—
yingzaofashi,营造法式,technology,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yingzaofashi.jpg,,,检查 URL 或重新生成
nalan-44,减字木兰花·相逢不语,poems,✅ OK,article_nalan-44.jpg,80934,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-44.jpg,,,—
shenxiu,神秀,philosophy,✅ OK,article_shenxiu.jpg,66144,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shenxiu.jpg,,,—
nalan-14,江城子·咏史,poems,✅ OK,article_nalan-14.jpg,66135,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-14.jpg,,,—
dongzhongshu,董仲舒,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_dongzhongshu.jpg,,,检查 URL 或重新生成
shijing-259,烝民,poems,✅ OK,article_shijing-259.jpg,69084,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-259.jpg,,,—
tangshi-300-56,渭川田家 · 王維,poems,✅ OK,article_tangshi-300-56.jpg,82811,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-56.jpg,,,—
zhenjiu,针灸,technology,✅ OK,article_zhenjiu.jpg,80712,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_zhenjiu.jpg,,,—
nalan-17,摊破浣溪沙·葬名花,poems,✅ OK,article_nalan-17.jpg,81591,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-17.jpg,,,—
bagua,八卦,philosophy,✅ OK,article_bagua.jpg,90029,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_bagua.jpg,,,—
sunbin,孙膑,philosophy,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_sunbin.jpg,,,检查 URL 或重新生成
baixi,白渠,technology,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_baixi.jpg,,,检查 URL 或重新生成
shijing-258,崧高,poems,✅ OK,article_shijing-258.jpg,78646,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-258.jpg,0.92,文件名'article_shijing-258.jpg'明确指向《诗经》第258篇《崧高》，属《大雅》篇章；标题与文本完全一致，且《诗经》是中国最早诗歌总集，具有核心传统文化地位；封面图虽无法直接查看，但URL上下文高度可信，契合度极高。,—
tianrenheyi,天人合一,philosophy,✅ OK,article_tianrenheyi.jpg,87142,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tianrenheyi.jpg,,,—
yuanqu-31,诈妮子调风月・梨花儿,poems,✅ OK,article_yuanqu-31.jpg,83730,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-31.jpg,,,—
luban,鲁班,technology,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_luban.jpg,,,检查 URL 或重新生成
yuanqu-86,幺・人俊惜风流，欠前生酒病花愁。尚还不彻相思债，携云挈雨，批风切,poems,✅ OK,article_yuanqu-86.jpg,79542,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-86.jpg,,,—
yuanqu-24,诈妮子调风月・四煞,poems,✅ OK,article_yuanqu-24.jpg,84275,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-24.jpg,,,—
wuqinxi,五禽戏,technology,✅ OK,article_wuqinxi.jpg,82879,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_wuqinxi.jpg,,,—
yuanqu-65,后庭花煞・掩袖暗含羞，开樽越酿愁。闷把苔墙画，慵将锦字修。最风流，,poems,✅ OK,article_yuanqu-65.jpg,62541,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-65.jpg,,,—
ruqun,襦裙,lifestyle,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_ruqun.jpg,,,检查 URL 或重新生成
maotai,茅台酒,lifestyle,✅ OK,article_maotai.jpg,80375,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_maotai.jpg,,,—
nalan-100,临江仙·丝雨如尘云著水,poems,✅ OK,article_nalan-100.jpg,73731,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-100.jpg,,,—
nalan-162,清平乐·青陵蝶梦,poems,✅ OK,article_nalan-162.jpg,80357,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-162.jpg,,,—
shijing-237,棫朴,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-237.jpg,,,检查 URL 或重新生成
mengdingganlu,蒙顶甘露,lifestyle,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_mengdingganlu.jpg,,,检查 URL 或重新生成
nalan-227,,poems,✅ OK,article_nalan-227.jpg,69098,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-227.jpg,,,—
huanghuali,黄花梨,lifestyle,✅ OK,article_huanghuali.jpg,101852,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_huanghuali.jpg,,,—
songci-300-251, · 王沂孙,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-251.jpg,,,检查 URL 或重新生成
nalan-48,浣溪沙·莲漏三声烛半条,poems,✅ OK,article_nalan-48.jpg,85171,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-48.jpg,,,—
nalan-228,盛京,poems,✅ OK,article_nalan-228.jpg,86792,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-228.jpg,,,—
yuanqu-41,诈妮子调风月・甜水令,poems,✅ OK,article_yuanqu-41.jpg,80577,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-41.jpg,,,—
songci-300-253, · 王沂孙,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-253.jpg,,,检查 URL 或重新生成
shijing-239,思齐,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-239.jpg,,,检查 URL 或重新生成
nalan-59,浣溪沙·旋拂轻容写洛神,poems,✅ OK,article_nalan-59.jpg,81673,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-59.jpg,,,—
yuanqu-85,大石调・青杏子骋怀,poems,✅ OK,article_yuanqu-85.jpg,88965,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_yuanqu-85.jpg,,,—
nalan-20,浣溪沙·脂粉塘空遍绿苔,poems,✅ OK,article_nalan-20.jpg,82070,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-20.jpg,,,—
shijing-240,皇矣,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-240.jpg,,,检查 URL 或重新生成
nalan-126,临江仙·点滴芭蕉心欲碎,poems,✅ OK,article_nalan-126.jpg,75037,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-126.jpg,,,—
tangshi-300-48,雜詩 十三 · 無名氏,poems,✅ OK,article_tangshi-300-48.jpg,70365,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-48.jpg,,,—
nalan-75, 锦堂春·帘际一痕轻绿 ,poems,✅ OK,article_nalan-75.jpg,73184,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-75.jpg,,,—
nalan-74, 落花时·夕阳谁唤下楼梯 ,poems,✅ OK,article_nalan-74.jpg,106393,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-74.jpg,,,—
weiboyang,魏伯阳,philosophy,✅ OK,article_weiboyang.jpg,81016,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_weiboyang.jpg,,,—
nalan-0,长相思·山一程,poems,✅ OK,article_nalan-0.jpg,86108,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-0.jpg,,,—
shijing-246,既醉,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_shijing-246.jpg,,,检查 URL 或重新生成
tangzhuang,唐装,lifestyle,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangzhuang.jpg,,,检查 URL 或重新生成
nalan-105,菩萨蛮·朔风吹散三更雪,poems,✅ OK,article_nalan-105.jpg,80067,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-105.jpg,,,—
nalan-216,玉连环影,poems,✅ OK,article_nalan-216.jpg,83353,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-216.jpg,,,—
songci-300-267, · 曹组,poems,⚠️ URL孤儿,—,—,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_songci-300-267.jpg,,,检查 URL 或重新生成
nalan-250,拟古·予生未三十,poems,✅ OK,article_nalan-250.jpg,72860,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-250.jpg,,,—
nalan-133,南楼令·塞外重九,poems,✅ OK,article_nalan-133.jpg,85779,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-133.jpg,,,—
wanganshi,王安石,figures,✅ OK,article_wanganshi.jpg,86964,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_wanganshi.jpg,,,—
